PART,MTYP,NB. OF ELEMENTS,INPUT     ELEM. MASS,ADDED INIT MASS SCALE,ADDED DYN. MASS SCALE,ADDED NON-STRU. MASS,ADDED   MASSTRIM,ADDED NODAL MASS,FINAL     ELEM. MASS,FINAL NODAL MASS,Percentage Increased
472200,105,325,0.06973,0.0,0.000138,0.0,0.0,0.0,0.06987,0.07318,0.200774415603042
472300,105,1272,0.4522,0.0,0.0,0.0,0.0,0.0,0.4522,0.4522,0.0
476000,105,2363,0.936,4.685e-06,0.0001055,0.0,0.0,0.0,0.9361,0.9468,0.0106837606837595
476010,105,5888,1.16,0.0,0.003708,0.0,0.0,0.0,1.164,1.189,0.3448275862068969
477000,105,526,0.06926,1.453e-05,0.0,0.0,0.0,0.0,0.06927,0.06927,0.0144383482529542
477400,105,624,0.2156,0.0,0.0,0.0,0.0,0.0,0.2156,0.2156,0.0
491000,105,998,0.3335,0.0,0.0,0.0,0.0,0.0,0.3335,0.3335,0.0
510000,105,78360,9.003,0.0,0.08636,0.0,0.0,0.0,9.089,9.141,0.9552371431745008
510200,105,2891,0.3591,2.78e-06,0.0,0.0,0.0,0.0,0.3591,0.3591,0.0
543000,105,10847,1.206,3.169e-07,0.01273,0.0,0.0,0.0,1.219,1.233,1.0779436152570585
571000,105,10578,1.753,4.044e-05,0.01665,0.0,0.0,0.0,1.77,1.82,0.9697661152310398
571210,105,4524,0.559,0.0,0.01648,0.0,0.0,0.0,0.5755,0.6026,2.9516994633273628
580000,105,5960,1.083,0.0,0.0,0.0,0.0,0.0,1.083,1.083,0.0
600700,105,11155,2.298,0.0,0.0,0.0,0.0,0.0,2.298,2.298,0.0
